	Fibroblast	Malignant	B cell	Macrophage	Endothelial	T cell	Dendritic	Mast
Linoleic acid metabolism	0.0566	0	0.2428	0.0118	0.1862	0.2286	0.3226	0.492
alpha-Linolenic acid metabolism	2e-04	0.129	0.7866	0.0216	0.0024	0.481	0.0384	0.058
Biosynthesis of unsaturated fatty acids	0	0	0	0	0	0	0	0
Purine metabolism	0	0	0	0	0	0	0.2958	0.0048
Pyrimidine metabolism	0	0	0	6e-04	0.2524	0	0.5728	0.033
Alanine, aspartate and glutamate metabolism	0	0	0	0	0	0	0.4524	0
Glycine, serine and threonine metabolism	0	0	0.016	0.04	0	0.325	0.0542	0.4494
Cysteine and methionine metabolism	0	0	0.004	0	0.001	0	0.2478	0
Valine, leucine and isoleucine degradation	0	0	0.0134	2e-04	0.0088	0	0.0242	0
Valine, leucine and isoleucine biosynthesis	NA	NA	NA	NA	NA	NA	NA	NA
Lysine degradation	0.0122	0	0.161	0	0	0.2786	0.0432	0.0964
Arginine biosynthesis	0	0	0.015	0.2438	0	0	0.0038	0
Arginine and proline metabolism	0.0278	0	0.0556	0.5108	0	0	0.0012	8e-04
Histidine metabolism	0.345	0.1522	0.3172	0.0878	0.0312	0.0016	0.5262	0.2044
Tyrosine metabolism	0	0	0	0.3286	0	0	0.0028	0.189
Phenylalanine metabolism	0.0314	0.0066	0	0	0	0	0	0.022
Tryptophan metabolism	0.084	0	0.397	0.2832	0	0.1316	0.139	0.3332
Phenylalanine, tyrosine and tryptophan biosynthesis	NA	NA	NA	NA	NA	NA	NA	NA
beta-Alanine metabolism	0	0	0.0274	0.0056	0.1124	0	0.2598	2e-04
Taurine and hypotaurine metabolism	6e-04	0	0.397	0	0.1248	0.0042	0.179	0.0444
Phosphonate and phosphinate metabolism	0	8e-04	0	0	0.3388	0	0.1396	0.0984
Selenocompound metabolism	0	0	0.0762	0.0314	0	0	0.0034	0
D-Glutamine and D-glutamate metabolism	NA	NA	NA	NA	NA	NA	NA	NA
D-Arginine and D-ornithine metabolism	NA	NA	NA	NA	NA	NA	NA	NA
Glutathione metabolism	0	0	0.4436	0.376	0	0	0.0228	0.0324
N-Glycan biosynthesis	0	0	0	0.4082	0.1478	0	0.0052	0
Mucin type O-glycan biosynthesis	0	0	0.3432	2e-04	0.451	0	0.1892	0.023
Mannose type O-glycan biosynthesis	0.0744	0	0.495	0.0872	0.2892	0	0.1498	0.002
Other types of O-glycan biosynthesis	0.0656	0	0.0292	0.4796	0.4576	0	0.3712	0.0048
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	0	0	0.3396	0.458	0.1358	0.022	0.47	0.0184
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0	0.001	2e-04	0.2758	2e-04	0	0.0638	0.0194
Glycosaminoglycan biosynthesis - keratan sulfate	0.1946	0.1384	0	0.0206	0	0.2774	0.3574	0.0198
Glycosaminoglycan degradation	0.0932	0	0.0046	0.3134	0.001	0	0.0114	0.2606
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0.001	0	0.4896	4e-04	0	0	0	0
Glycosphingolipid biosynthesis - lacto and neolacto series	0.5122	0	0.2012	0.0728	0.0016	2e-04	0.0012	0.3624
Glycosphingolipid biosynthesis - globo and isoglobo series	0.5192	0	0.2834	0	0.0146	0.0226	0.01	0.0994
Glycosphingolipid biosynthesis - ganglio series	0	0	0	0.066	0.0228	0.001	0.0584	2e-04
Other glycan degradation	0	0	0.084	0	0.4056	0	0.0104	0.1072
Thiamine metabolism	0.4144	0	0.0624	0.03	0.3334	0	0.3344	0.0598
Riboflavin metabolism	0	0	0.421	0	0.0292	0	0	0
Vitamin B6 metabolism	0.0048	2e-04	8e-04	0	0	2e-04	6e-04	0.0702
Nicotinate and nicotinamide metabolism	0.1234	0.3382	0.0854	0.01	2e-04	0	0	0.0216
Pantothenate and CoA biosynthesis	0	0	0.001	0	6e-04	0	0.3888	0.1112
Biotin metabolism	NA	NA	NA	NA	NA	NA	NA	NA
Lipoic acid metabolism	NA	NA	NA	NA	NA	NA	NA	NA
Folate biosynthesis	0	0	0.2578	0	0	0	0.0254	0
One carbon pool by folate	0	0	0.508	0.0388	0	0	0.2474	0.021
Retinol metabolism	0.0438	0.0016	0	0.148	2e-04	0.006	0.0196	0.3268
Porphyrin and chlorophyll metabolism	0	0	0	0	0	0	0.059	4e-04
Ubiquinone and other terpenoid-quinone biosynthesis	0.0332	0	0.4242	0.1192	0.0838	0	0.015	0
Terpenoid backbone biosynthesis	0	0	0.0978	0.018	6e-04	0	0.1966	0.4634
Caffeine metabolism	NA	NA	NA	NA	NA	NA	NA	NA
Neomycin, kanamycin and gentamicin biosynthesis	NA	NA	NA	NA	NA	NA	NA	NA
Metabolism of xenobiotics by cytochrome P450	0.3634	0	0.0018	0.4558	0.0416	0	0	0
Drug metabolism - cytochrome P450	0.6522	0	0.059	0.0312	0	0	2e-04	0.1196
Drug metabolism - other enzymes	0	0	0	0.4004	0.2102	0	0.1596	0
